DateKey;Date;Week;Month;Year;Public Holiday
1;05/02/2010;6;2;2010;FALSO
2;06/02/2010;6;2;2010;FALSO
3;07/02/2010;7;2;2010;FALSO
4;08/02/2010;7;2;2010;FALSO
5;09/02/2010;7;2;2010;FALSO
6;10/02/2010;7;2;2010;FALSO
7;11/02/2010;7;2;2010;FALSO
8;12/02/2010;7;2;2010;VERDADEIRO
9;13/02/2010;7;2;2010;FALSO
10;14/02/2010;8;2;2010;FALSO
11;15/02/2010;8;2;2010;FALSO
12;16/02/2010;8;2;2010;FALSO
13;17/02/2010;8;2;2010;FALSO
14;18/02/2010;8;2;2010;FALSO
15;19/02/2010;8;2;2010;FALSO
16;20/02/2010;8;2;2010;FALSO
17;21/02/2010;9;2;2010;FALSO
18;22/02/2010;9;2;2010;FALSO
19;23/02/2010;9;2;2010;FALSO
20;24/02/2010;9;2;2010;FALSO
21;25/02/2010;9;2;2010;FALSO
22;26/02/2010;9;2;2010;FALSO
23;27/02/2010;9;2;2010;FALSO
24;28/02/2010;10;2;2010;FALSO
25;01/03/2010;10;3;2010;FALSO
26;02/03/2010;10;3;2010;FALSO
27;03/03/2010;10;3;2010;FALSO
28;04/03/2010;10;3;2010;FALSO
29;05/03/2010;10;3;2010;FALSO
30;06/03/2010;10;3;2010;FALSO
31;07/03/2010;11;3;2010;FALSO
32;08/03/2010;11;3;2010;FALSO
33;09/03/2010;11;3;2010;FALSO
34;10/03/2010;11;3;2010;FALSO
35;11/03/2010;11;3;2010;FALSO
36;12/03/2010;11;3;2010;FALSO
37;13/03/2010;11;3;2010;FALSO
38;14/03/2010;12;3;2010;FALSO
39;15/03/2010;12;3;2010;FALSO
40;16/03/2010;12;3;2010;FALSO
41;17/03/2010;12;3;2010;FALSO
42;18/03/2010;12;3;2010;FALSO
43;19/03/2010;12;3;2010;FALSO
44;20/03/2010;12;3;2010;FALSO
45;21/03/2010;13;3;2010;FALSO
46;22/03/2010;13;3;2010;FALSO
47;23/03/2010;13;3;2010;FALSO
48;24/03/2010;13;3;2010;FALSO
49;25/03/2010;13;3;2010;FALSO
50;26/03/2010;13;3;2010;FALSO
51;27/03/2010;13;3;2010;FALSO
52;28/03/2010;14;3;2010;FALSO
53;29/03/2010;14;3;2010;FALSO
54;30/03/2010;14;3;2010;FALSO
55;31/03/2010;14;3;2010;FALSO
56;01/04/2010;14;4;2010;FALSO
57;02/04/2010;14;4;2010;FALSO
58;03/04/2010;14;4;2010;FALSO
59;04/04/2010;15;4;2010;FALSO
60;05/04/2010;15;4;2010;FALSO
61;06/04/2010;15;4;2010;FALSO
62;07/04/2010;15;4;2010;FALSO
63;08/04/2010;15;4;2010;FALSO
64;09/04/2010;15;4;2010;FALSO
65;10/04/2010;15;4;2010;FALSO
66;11/04/2010;16;4;2010;FALSO
67;12/04/2010;16;4;2010;FALSO
68;13/04/2010;16;4;2010;FALSO
69;14/04/2010;16;4;2010;FALSO
70;15/04/2010;16;4;2010;FALSO
71;16/04/2010;16;4;2010;FALSO
72;17/04/2010;16;4;2010;FALSO
73;18/04/2010;17;4;2010;FALSO
74;19/04/2010;17;4;2010;FALSO
75;20/04/2010;17;4;2010;FALSO
76;21/04/2010;17;4;2010;FALSO
77;22/04/2010;17;4;2010;FALSO
78;23/04/2010;17;4;2010;FALSO
79;24/04/2010;17;4;2010;FALSO
80;25/04/2010;18;4;2010;FALSO
81;26/04/2010;18;4;2010;FALSO
82;27/04/2010;18;4;2010;FALSO
83;28/04/2010;18;4;2010;FALSO
84;29/04/2010;18;4;2010;FALSO
85;30/04/2010;18;4;2010;FALSO
86;01/05/2010;18;5;2010;FALSO
87;02/05/2010;19;5;2010;FALSO
88;03/05/2010;19;5;2010;FALSO
89;04/05/2010;19;5;2010;FALSO
90;05/05/2010;19;5;2010;FALSO
91;06/05/2010;19;5;2010;FALSO
92;07/05/2010;19;5;2010;FALSO
93;08/05/2010;19;5;2010;FALSO
94;09/05/2010;20;5;2010;FALSO
95;10/05/2010;20;5;2010;FALSO
96;11/05/2010;20;5;2010;FALSO
97;12/05/2010;20;5;2010;FALSO
98;13/05/2010;20;5;2010;FALSO
99;14/05/2010;20;5;2010;FALSO
100;15/05/2010;20;5;2010;FALSO
101;16/05/2010;21;5;2010;FALSO
102;17/05/2010;21;5;2010;FALSO
103;18/05/2010;21;5;2010;FALSO
104;19/05/2010;21;5;2010;FALSO
105;20/05/2010;21;5;2010;FALSO
106;21/05/2010;21;5;2010;FALSO
107;22/05/2010;21;5;2010;FALSO
108;23/05/2010;22;5;2010;FALSO
109;24/05/2010;22;5;2010;FALSO
110;25/05/2010;22;5;2010;FALSO
111;26/05/2010;22;5;2010;FALSO
112;27/05/2010;22;5;2010;FALSO
113;28/05/2010;22;5;2010;FALSO
114;29/05/2010;22;5;2010;FALSO
115;30/05/2010;23;5;2010;FALSO
116;31/05/2010;23;5;2010;FALSO
117;01/06/2010;23;6;2010;FALSO
118;02/06/2010;23;6;2010;FALSO
119;03/06/2010;23;6;2010;FALSO
120;04/06/2010;23;6;2010;FALSO
121;05/06/2010;23;6;2010;FALSO
122;06/06/2010;24;6;2010;FALSO
123;07/06/2010;24;6;2010;FALSO
124;08/06/2010;24;6;2010;FALSO
125;09/06/2010;24;6;2010;FALSO
126;10/06/2010;24;6;2010;FALSO
127;11/06/2010;24;6;2010;FALSO
128;12/06/2010;24;6;2010;FALSO
129;13/06/2010;25;6;2010;FALSO
130;14/06/2010;25;6;2010;FALSO
131;15/06/2010;25;6;2010;FALSO
132;16/06/2010;25;6;2010;FALSO
133;17/06/2010;25;6;2010;FALSO
134;18/06/2010;25;6;2010;FALSO
135;19/06/2010;25;6;2010;FALSO
136;20/06/2010;26;6;2010;FALSO
137;21/06/2010;26;6;2010;FALSO
138;22/06/2010;26;6;2010;FALSO
139;23/06/2010;26;6;2010;FALSO
140;24/06/2010;26;6;2010;FALSO
141;25/06/2010;26;6;2010;FALSO
142;26/06/2010;26;6;2010;FALSO
143;27/06/2010;27;6;2010;FALSO
144;28/06/2010;27;6;2010;FALSO
145;29/06/2010;27;6;2010;FALSO
146;30/06/2010;27;6;2010;FALSO
147;01/07/2010;27;7;2010;FALSO
148;02/07/2010;27;7;2010;FALSO
149;03/07/2010;27;7;2010;FALSO
150;04/07/2010;28;7;2010;FALSO
151;05/07/2010;28;7;2010;FALSO
152;06/07/2010;28;7;2010;FALSO
153;07/07/2010;28;7;2010;FALSO
154;08/07/2010;28;7;2010;FALSO
155;09/07/2010;28;7;2010;FALSO
156;10/07/2010;28;7;2010;FALSO
157;11/07/2010;29;7;2010;FALSO
158;12/07/2010;29;7;2010;FALSO
159;13/07/2010;29;7;2010;FALSO
160;14/07/2010;29;7;2010;FALSO
161;15/07/2010;29;7;2010;FALSO
162;16/07/2010;29;7;2010;FALSO
163;17/07/2010;29;7;2010;FALSO
164;18/07/2010;30;7;2010;FALSO
165;19/07/2010;30;7;2010;FALSO
166;20/07/2010;30;7;2010;FALSO
167;21/07/2010;30;7;2010;FALSO
168;22/07/2010;30;7;2010;FALSO
169;23/07/2010;30;7;2010;FALSO
170;24/07/2010;30;7;2010;FALSO
171;25/07/2010;31;7;2010;FALSO
172;26/07/2010;31;7;2010;FALSO
173;27/07/2010;31;7;2010;FALSO
174;28/07/2010;31;7;2010;FALSO
175;29/07/2010;31;7;2010;FALSO
176;30/07/2010;31;7;2010;FALSO
177;31/07/2010;31;7;2010;FALSO
178;01/08/2010;32;8;2010;FALSO
179;02/08/2010;32;8;2010;FALSO
180;03/08/2010;32;8;2010;FALSO
181;04/08/2010;32;8;2010;FALSO
182;05/08/2010;32;8;2010;FALSO
183;06/08/2010;32;8;2010;FALSO
184;07/08/2010;32;8;2010;FALSO
185;08/08/2010;33;8;2010;FALSO
186;09/08/2010;33;8;2010;FALSO
187;10/08/2010;33;8;2010;FALSO
188;11/08/2010;33;8;2010;FALSO
189;12/08/2010;33;8;2010;FALSO
190;13/08/2010;33;8;2010;FALSO
191;14/08/2010;33;8;2010;FALSO
192;15/08/2010;34;8;2010;FALSO
193;16/08/2010;34;8;2010;FALSO
194;17/08/2010;34;8;2010;FALSO
195;18/08/2010;34;8;2010;FALSO
196;19/08/2010;34;8;2010;FALSO
197;20/08/2010;34;8;2010;FALSO
198;21/08/2010;34;8;2010;FALSO
199;22/08/2010;35;8;2010;FALSO
200;23/08/2010;35;8;2010;FALSO
201;24/08/2010;35;8;2010;FALSO
202;25/08/2010;35;8;2010;FALSO
203;26/08/2010;35;8;2010;FALSO
204;27/08/2010;35;8;2010;FALSO
205;28/08/2010;35;8;2010;FALSO
206;29/08/2010;36;8;2010;FALSO
207;30/08/2010;36;8;2010;FALSO
208;31/08/2010;36;8;2010;FALSO
209;01/09/2010;36;9;2010;FALSO
210;02/09/2010;36;9;2010;FALSO
211;03/09/2010;36;9;2010;FALSO
212;04/09/2010;36;9;2010;FALSO
213;05/09/2010;37;9;2010;FALSO
214;06/09/2010;37;9;2010;FALSO
