1;Candy
2;Personal Care, Health and Beauty Aids
3;Stationery
4;Paper Goods/Household Paper
5;Electronics
6;Wireless and Wearables
7;Toys
8;Pets and Supplies
9;Sporting Goods
10;Automotive
11;Hardware
12;Paint and Accessories
13;Household Chemicals
14;Kitchen and Dining/Cook and Dine
15;Health and Wellness
16;Lawn and Garden
17;Home Decor
18;Seasonal
19;Piece Goods, Fabrics, and Crafts
20;Bath and Shower
21;Movies
22;Bedding
23;Men’s Wear
24;Boy’s Wear
25;Childrens's Shoes
26;Infants/Toddlers
27;Socks
28;Sheer Hosiery
29;Lingerie
30;Foundations
31;Handbags/Accessories
32;Jewelry
33;Girl’s Wear
34;Ladie's Wear
35;Maternity
36;Ladies Outerwear
37;Auto Service
38;Pharmacy
39;Roadshow/Consumer Service
40;OTC Pharmacy, Health, and Wellness
41;Men’s College and Pro
42;Automotive Oil
43;Toys
44;Piece Goods, Fabrics & Crafts
45;Sporting Goods
46;Cosmetics, Fragrances, and Skin Care
47;Jewelry
48;Gaming
49;Optical – Frames
50;Optical – Lenses
51;Media
52;Tobacco
53;Stationery
54;Jewelry
55;Media & Gaming
56;Horticulture
57;Hearing Center
58;Hearing Center
59;Cosmetics, Fragrances, and Skin Care
60;Concept Stores
61;Live Plants
62;Books and Magazines
63;Plus Size
64;Music - Instruments
65;Gasoline/Fuel Convenience Stores
66;Music - CD/Vinyl
67;Celebration and Cards
68;Cameras and Supplies
69;Office Management
70;Baby’s Wear
71;Furniture
72;Electronics
73;Stationary
74;Home Management, Closet, Storage, and Organization
75;Men's Shoes
76;Ladie's Shoes
77;Large Appliances and Household Goods
78;Ladieswear
79;Infant Consumable Hardlines
80;Service Deli
81;Commercial Bread
82;Impulse Merchandise
83;Seafood
84;1-Hour Photo
85;Financial Services/Walmart Services
86;Wireless
87;Second hand articles
88;PMDC Signage
89;Walmart Travel/Travel
90;Dairy Products
91;Frozen Food
92;Dry Grocery
93;Meat and Seafood
94;Fresh Produce
95;DSD Grocery and Snacks
96;Liquor/Adult Beverage
97;Wall Deli
98;Bakery
99;Office and Store Supplies
