Store;Type;Size;City;State
1;A;151315;Cleveland;Ohio
2;A;202307;Chicago;Illinois
3;B;37392;San Diego;California
4;A;205863;Birmingham;Alabama
5;B;34875;Dallas;Texas
6;A;202505;Jacksonville;Florida
7;B;70713;Philadelphia;Pennsylvania
8;A;155078;Columbus;Georgia
9;B;125833;Asheville;North Carolina
10;B;126512;Kansas City;Missouri
11;A;207499;Nashville;Tennessee
12;B;112238;Alexandria;Virginia
13;A;219622;New Orleans;Louisiana
14;A;200898;Norman;Oklahoma
15;B;123737;Detroit;Michigan
16;B;57197;Indianapolis;Indiana
17;B;93188;Phoenix;Arizona
18;B;120653;Myrtle Beach;South Carolina
19;A;203819;Kingston;New York
20;A;203742;Denver;Colorado
21;B;140167;Mammoth Cave;Kentucky
22;B;119557;Madison;Wisconsin
23;B;114533;Oxford;Mississippi
24;A;203819;Manhattan;Kansas
25;B;128107;Minneapolis;Minesotta
26;A;152513;Paterson;New Jersey
27;A;204184;Waterloo;Iowa
28;A;206302;Seattle;Washington
29;B;93638;Salt Lake City;Utah
30;C;42988;Baltimore;Maryland
31;A;203750;Albuquerque;New Mexico
32;A;203007;Boston;Massachusetts
33;A;39690;Fallon;Nevada
34;A;158114;Sidney;Nebraska
35;B;103681;Portland;Oregon
36;A;39910;Charleston;West Virginia
37;C;39910;Kodiak;Alaska
38;C;39690;Greenwhich;Connecticut
39;A;184109;Manchester;New Hampshire
40;A;155083;Boise;Idaho
41;A;196321;Rockland;Maine
42;C;39690;Tea;South Dakota
43;C;41062;Missoula;Montana
44;C;39910;Pearl City;Hawaii
45;B;118221;Wilmington;Delaware
